"longitude","latitude","address","objectid","facilityid","neighborhood","ward"
-77.0810370674272,38.9645566935171,"5518 WESTERN AVE NW",1333,"19269-555-3001-0471-000","Chevy Chase",3
-77.0699789692981,38.9691692133642,"6010 BROAD BRANCH RD NW",1365,"11781-600-3001-0184-000","Chevy Chase",3
-77.0872531199646,38.9591924418731,"4400 BLK JENIFER ST NW",1394,"14998-440-3005-0325-000","Friendship Heights",3
-77.0768494633222,38.9577359096064,"3825 HUNTINGTON ST NW",1423,"14745-385-3005-0303-000","Friendship Heights",3
-77.0759342444553,38.9652991055948,"5608 CONNECTICUT AVE NW",1424,"12515-560-3001-0171-000","Chevy Chase",3
-77.0871068127246,38.9591140101448,"4400 BLK JENIFER ST NW",1438,"14998-440-3005-0264-000","Friendship Heights",3
-77.0752767210615,38.9646221796805,"5542 CONNECTICUT AVE NW",1455,"12515-555-3005-0230-000","Chevy Chase",3
-77.0791739019977,38.9621300627717,"3935 LEGATION ST NW",1464,"15492-390-3005-0576-000","Chevy Chase",3
-77.0726642073283,38.9521609935121,"3729 DAVENPORT ST NW",1479,"12749-370-3005-0324-000","Wakefield",3
-77.0820885825588,38.9599887255937,"5320 42ND ST NW",1491,"10420-530-3001-0347-000","Friendship Heights",3
-77.0723222212507,38.9610760727038,"3713 MILITARY RD NW",1518,"16064-370-3005-0393-000","Chevy Chase",3
-77.0993723570879,38.9487506390875,"4960 BUTTERWORTH PL NW",1614,"11969-490-3001-0740-000","American University Park",3
-77.0735621034501,38.9522450856177,"4800 blk NEBRASKA AVE NW/davenport",1638,"16376-480-3005-0042-000","Wakefield",3
-77.0912600524991,38.9533934909772,"4611 ELLICOTT ST NW",1653,"13276-460-3005-0184-000","American University Park",3
-77.0718167045219,38.9521595871327,"3701 DAVENPORT ST NW",1654,"12749-370-3005-0083-000","Wakefield",3
-77.0899613518354,38.9521670396871,"4519 DAVENPORT ST NW",1712,"12749-450-3005-0363-000","American University Park",3
-77.0926921997529,38.9467809238891,"4420 47TH ST NW",1807,"10470-440-3001-0170-000","American University Park",3
-77.097167307184,38.9496529225,"4900 BRANDYWINE ST NW",1824,"11748-490-3001-0115-000","American University Park",3
-77.0784968270542,38.9468521966058,"4400 FORT DR NW-ISLAND",1827,"13705-440-3001-0059-000","Tenleytown",3
-77.0926939599435,38.9473339508987,"4430 47TH ST NW",1841,"10470-445-3001-0082-000","American University Park",3
-77.0954851319462,38.9502011508125,"4611 ASBURY PL NW",1847,"11124-460-3005-0182-000","American University Park",3
-77.0819710398962,38.9465968075177,"4411 42ND ST NW",1857,NA,"Tenleytown",3
-77.0937536540645,38.9496525543602,"4722 BRANDYWINE ST NW",1878,"11748-470-3001-0323-000","American University Park",3
-77.0819745148479,38.9502515197348,"4615 42ND ST NW",1885,"10420-465-3005-0093-000","Tenleytown",3
-77.0865036483653,38.9504202137377,"4405 BURLINGTON PL NW",1922,"11930-440-3005-0070-000","American University Park",3
-77.078444121638,38.948180163144,"4500 BLK FORT DR NW",1926,"13705-450-3005-0086-000","Tenleytown",3
-77.0702771970592,38.9507874437069,"3607 CHESAPEAKE ST NW",1930,"12255-360-3005-0122-000","Wakefield",3
-77.095129628734,38.9479788109108,"4815 ALBEMARLE ST NW",1932,"10949-480-3005-0197-000","American University Park",3
-77.0819710795232,38.9503663733085,"4617 42ND ST NW",1945,"10420-465-3005-0134-000","Tenleytown",3
-77.078436770566,38.9503516357127,"5300 FORT DR NW",1954,"13705-464-3005-0174-000","Tenleytown",3
-77.0965057682594,38.9510985761845,"4849 CHESAPEAKE ST NW",1955,"12255-485-3005-0271-000","American University Park",3
-77.0788105087798,38.9454350342926,"4300 blk 40TH ST NW/warren",1980,"10400-430-3001-0234-000","Tenleytown",3
-77.1009403477934,38.9431151643898,"5050 VAN NESS ST NW",1988,"18892-500-3001-0497-000","Spring Valley",3
-77.0862745241829,38.9461545624262,"4320 44TH ST NW",1996,"10440-435-3001-0222-000","American University Park",3
-77.0576723907211,38.9757537075156,"6433 31ST PL NW",1128,"10313-640-3005-1141-000","Barnaby Woods",4
-77.0819770367159,38.9469416338502,"4419 42ND ST NW",1887,"10420-440-3005-0224-000","Tenleytown",3
-77.0787637959529,38.9456682752013,"4300 blk 40TH ST NW/warren",2018,"10400-430-3001-0313-000","Tenleytown",3
-77.0786896070339,38.9453442538285,"4300 blk 40TH ST NW/warren",2086,"10400-430-3005-0202-000","Tenleytown",3
-77.0861237713734,38.9406576212971,"4423 SPRINGDALE ST NW",2110,"18190-440-3005-0276-000","American University Park",3
-77.0795525394084,38.9452255056633,"4335 NEBRASKA AVE NW",2115,"16376-430-3005-0208-000","Tenleytown",3
-77.108805644017,38.9311175239228,"5321 MACOMB ST NW",2142,"99999-999-9999-2020-1","Potomac Heights",3
-77.1082873749605,38.9341788280679,"5255 PARTRIDGE LN NW",2144,"16935-520-3005-0613-000","Kent",3
-77.1058676564903,38.9314021215992,"5533 HAWTHORNE PL NW",2147,"14394-550-3005-0435-000","Kent",3
-77.0931020696278,38.9327305796164,"3220 NEBRASKA AVE NW",2171,"16376-310-3001-0056-000","Spring Valley",3
-77.0867069413532,38.9400180233799,"4441 SEDGWICK ST NW",2184,"17904-440-3005-0290-000","American University Park",3
-77.097664760369,38.9336968993553,"4886 ROCKWOOD PKWY NW",2204,"99999-999-9999-2005-0","Spring Valley",3
-77.0934733775613,38.9334802312599,"4810 ROCKWOOD PKWY NW",2209,"17683-480-3001-0022-000","Spring Valley",3
-77.0982462714981,38.9359038724959,"4916 GLENBROOK RD NW",2250,"14049-490-3001-0648-000","Spring Valley",3
-77.0987923017228,38.9342630586563,"4926 ROCKWOOD PKWY NW",2254,"17683-485-3001-1373-000","Spring Valley",3
-77.098394191935,38.9368109217871,"4949 HILLBROOK LN NW",2256,"14517-490-3005-0598-000","Spring Valley",3
-77.1071939071666,38.9349473722327,"5174 WATSON ST NW",2270,"19171-520-3001-0323-000","Kent",3
-77.0917360004298,38.9403820774761,"4615 SEDGWICK ST NW",2287,"17904-460-3005-0155-000","Spring Valley",3
-77.106373096186,38.9348769002935,"opp 5161 WATSON ST NW(side of 5001 Palisade ln)",2331,"19171-520-3001-0085-000","Kent",3
-77.0963860076486,38.9345570515241,"4861 INDIAN LN NW",2345,"14803-480-3005-0782-000","Spring Valley",3
-77.1097252386722,38.9313029397865,"5620 SHERIER PL NW",2348,"18021-560-3001-0237-000","Potomac Heights",3
-77.108163677269,38.9341323527821,"5230 PARTRIDGE LN NW",2349,"16935-520-3001-0595-000","Kent",3
-77.0679076550532,38.9620328914375,"3408 LEGATION ST NW",2362,"15492-330-3001-0322-000","Chevy Chase",3
-77.0905430370586,38.9488923625936,"4531 46TH ST NW",2381,"10460-455-3005-0011-000","American University Park",3
-77.0663246502167,38.964815687856,"5543 33RD ST NW",2388,"10330-555-3005-0295-000","Chevy Chase",4
-77.1058932179463,38.9287138195876,"5360 GALENA PL NW",2409,"13887-530-3001-0053-000","Potomac Heights",3
-77.0634993985438,38.955770781531,"5030 LINNEAN AVE NW",2420,"15596-510-3001-0083-000","Forest Hills",3
-77.0836435252883,38.9509963759826,"0 CHESAPEAKE ST NW",2461,"12255-425-3001-0032-000","American University Park",3
-77.0610676816232,38.9641753979485,"5517 30TH ST NW",2491,"10300-550-3005-0236-000","Chevy Chase",4
-77.0861476145769,38.9502469264424,"4615 44TH ST NW",2492,"10440-460-3005-0181-000","American University Park",3
-77.0674113321851,38.9634125066101,"5504 BROAD BRANCH RD NW",2518,"11781-548-3001-0120-000","Chevy Chase",3
-77.100270338889,38.9231016976836,"5020 MACARTHUR BLVD NW",2555,"15791-503-3001-0086-000","Palisades",3
-77.0638636364406,38.9542067634516,"3104 FESSENDEN ST NW",2571,"13555-310-3001-0107-000","Forest Hills",3
-77.0632647409202,38.9537576018421,"4924 LINNEAN AVE NW",2589,"15596-490-3001-0261-000","Forest Hills",3
-77.0724827391805,38.9576531148936,"3712 HUNTINGTON ST NW",2596,"14745-370-3001-0309-000","Chevy Chase",3
-77.0850478702749,38.9530383612705,"4840 43RD PL NW",2609,"10433-485-3001-0335-000","American University Park",3
-77.0634621155887,38.9544957193712,"5007 LINNEAN AVE NW",2617,"15596-490-3005-0505-000","Forest Hills",3
-77.0688318659031,38.959734049832,"3613 JOCELYN ST NW",2618,"15011-360-3005-0240-000","Chevy Chase",3
-77.0689117542765,38.9584110582398,"3615 INGOMAR PL NW",2632,"14829-360-3005-0131-000","Chevy Chase",3
-77.0651968944645,38.9543954742888,"3201 FESSENDEN ST NW",2635,"13555-320-3005-0040-000","Forest Hills",3
-77.0674597345573,38.9550777859608,"5000 BLK 34TH ST NW",2672,"10340-500-3005-0134-000","Forest Hills",3
-77.0728520018371,38.9576569672099,"3718 HUNTINGTON ST NW",2674,"14745-370-3001-0397-000","Chevy Chase",3
-77.0694190877402,38.9597341939999,"3633 JOCELYN ST NW",2690,"15011-360-3005-0383-000","Chevy Chase",3
-77.063359610928,38.9538757830941,"4926 LINNEAN AVE NW",2707,"15596-490-3001-0310-000","Forest Hills",3
-77.0675046847192,38.9609707637254,"3322 MILITARY RD NW",2719,"16064-335-3001-0360-000","Chevy Chase",3
-77.0719905041539,38.9603646248716,"OPP 3740 KANAWHA ST NW",2724,"15122-370-3005-0417-000","Chevy Chase",3
-77.0873844629505,38.9360806660662,"0 NEBRASKA AVE NW",2741,"16376-360-3005-0143-000","American University",3
-77.0580966040244,38.948384035289,"4506 29TH ST NW",2760,"10290-450-3001-0160-000","Forest Hills",3
-77.0615713011869,38.9499649415004,"4601 30TH ST NW",2767,"10300-460-3005-0101-000","Forest Hills",3
-77.081949939929,38.9268470602165,"2801 NEW MEXICO AVE NW",2779,"16441-280-3005-0325-000","Glover-Archbold Parkway",3
-77.056851638885,38.9489077070492,"2857 ALLENDALE PL NW",2798,"10981-275-3005-0352-000","Forest Hills",3
-77.0863235912694,38.9345226401788,"3381 NEW MEXICO AVE NW",2804,"16441-335-3005-0185-000","Wesley Heights",3
-77.0887069835606,38.9300541804592,"3012 45TH ST NW",2812,"10450-300-3001-0408-000","Wesley Heights",3
-77.0833691754827,38.9302223709639,"4200 CATHEDRAL AVE NW",2833,"12099-390-3001-1916-000","Wesley Heights",3
-77.0870695124413,38.9366712545405,"3500 NEBRASKA AVE NW",2836,"16376-360-3001-0371-000","American University",3
-77.0893517775627,38.9251046940394,"4540 DEXTER ST NW",2846,"12925-440-3001-0875-003","Berkley/Foxhall Crescents",3
-77.0917788764305,38.9288779209619,"4630 HAWTHORNE LN NW",2855,"14387-460-3001-0296-000","Wesley Heights",3
-77.0587341901365,38.9512060837493,"4704 LINNEAN AVE NW",2872,"15596-475-3001-0262-000","Forest Hills",3
-77.0581730075891,38.9485790321912,"4526 29TH ST NW",2876,"10290-450-3001-0258-000","Forest Hills",3
-77.0552005165952,38.9481042846359,"2817 ALBEMARLE ST NW",2886,"99999-999-9999-2459-9","Forest Hills",3
-77.0927982421374,38.9288419589112,"4661 HAWTHORNE LN NW",2930,"14387-460-3005-0557-000","Wesley Heights",3
-77.0942212696499,38.924876457029,"4823 DEXTER ST NW",2998,"12925-485-3005-0266-000","Berkley/Foxhall Crescents",3
-77.0966969754467,38.9407613934788,"3917 49TH ST NW",2291,"10490-390-3005-0154-000","Spring Valley",3
-77.0923758026744,38.9192373362775,"4601 W ST NW",3009,"19015-465-3005-0054-000","Berkley/Foxhall Crescents",3
-77.0329156673085,38.9110897065342,"1420 Q ST NW",3026,"17286-140-3001-0273-000","Logan Circle",2
-77.0888469529746,38.9119374777864,"4634 CHARLESTON TER NW",3030,"99999-999-9999-2712-6","Palisades",3
-77.0954990508108,38.9219655108602,"2349 KING PL NW",3040,"15258-220-3005-1009-000","Berkley/Foxhall Crescents",3
-77.0933234243579,38.9210317199626,"2238 47TH ST NW",3052,"10470-220-3001-0284-000","Berkley/Foxhall Crescents",3
-77.0956199411434,38.9225062299707,"2354 KING PL NW",3082,"15258-220-3001-1219-000","Berkley/Foxhall Crescents",3
-77.0954853086885,38.9215386483442,"2339 KING PL NW",3098,"15258-220-3005-0831-000","Berkley/Foxhall Crescents",3
-77.0896537021633,38.9125108620246,"4648 CHARLESTON TER NW",3110,"99999-999-9999-2711-9","Palisades",3
-77.093174450829,38.9209156404569,"2247 47TH ST NW",3121,"10470-220-3005-0242-000","Berkley/Foxhall Crescents",3
-76.986053908994,38.8802267889186,"1300 BLK POTOMAC AVE SE",3168,"37189-139-3001-0116-000","Capitol Hill",6
-76.9861556638782,38.8850146810671,"306 KENTUCKY AVE SE",3227,"35226-030-3001-0167-000","Capitol Hill",6
-76.9840693653135,38.8784505985038,"1400 BLK K ST SE",3283,"35089-140-3001-0407-000","Capitol Hill",6
-77.0375017708712,38.9038119387986,"1615 L ST NW",3383,"15349-160-3005-0226-000","Downtown",2
-77.0427611764737,38.9055838382982,"1850 M ST NW",3441,"15785-180-3001-0305-000","Downtown",2
-77.0399141609458,38.9930858514464,"1718 TAMARACK ST NW",3533,"99999-999-9999-3246-4","North Portal Estates",4
-77.0440834509696,38.9172764532823,"2000 19TH ST NW",3542,"10190-191-3001-0524-000","Washington Heights",1
-77.0463619164415,38.9908261128597,"2262 SUDBURY RD NW",3543,"99999-999-9999-3277-5","Rock Creek Gardens",4
-77.0417358225455,38.9883723041609,"1769 NORTH PORTAL DR NW",3559,"16558-170-3005-0712-000","North Portal Estates",4
-77.0441827953341,38.9175140933441,"opp 2017 19TH ST NW",3586,"10190-191-3001-0588-000","Washington Heights",1
-77.0460395768752,38.990073648382,"2250 SUDBURY RD NW",3596,NA,"Rock Creek Gardens",4
-77.0313211536339,38.9877881596443,"8009 14TH ST NW",3618,"99999-999-9999-3292-1","Shepherd Park",4
-77.0463260725894,38.9907074975223,"2258 SUDBURY RD NW",3662,"99999-999-9999-3277-4","Rock Creek Gardens",4
-77.0459496364935,38.9899135445979,"2246 SUDBURY RD NW",3671,"99999-999-9999-3276-9","Rock Creek Gardens",4
-77.0362267609747,38.9886780063399,"7941 16TH ST NW",3721,"10160-805-3005-0151-000","Shepherd Park",4
-77.0458749789279,38.9897060303977,"2210 SUDBURY RD NW",3735,"99999-999-9999-3276-7","Rock Creek Gardens",4
-77.0263863070295,38.9806879613852,"7425 GEORGIA AVE NW",3745,"14004-740-3005-0453-000","Takoma",4
-77.0399097812203,38.9873702407167,"1701 POPLAR LN NW",3748,"17137-170-3005-0079-000","Colonial Village",4
-77.0334898084587,38.9819284327947,"7546 14th street nw",3766,"10140-755-3001-0194-000","Shepherd Park",4
-77.0296175761791,38.9826152281007,"7609 13TH ST NW",3770,"10130-755-3005-0447-000","Shepherd Park",4
-77.0333444855375,38.9860195696171,"7800 BLK 14TH ST NW/LOCUST RD",3779,"10140-780-3005-0055-000","Shepherd Park",4
-77.031966448949,38.988854865215,"OPP 8130 EASTERN AVE NW",3857,"13198-800-3005-0387-000","Shepherd Park",4
-77.044295242177,38.9850063533981,"1817 PARKSIDE DR NW",3866,"16916-180-3005-0426-000","Rock Creek Gardens",4
-77.032055200438,38.9822369441463,"1348 IRIS ST NW",3880,"14862-135-3001-0150-000","Shepherd Park",4
-77.0347843589595,38.9814041705813,"1427 HEMLOCK ST NW",3904,"14420-140-3005-0380-000","Shepherd Park",4
-77.0258090124373,38.9783635469204,"825 FERN PL NW",3912,"13536-080-3005-0383-000","Takoma",4
-77.0357342511767,38.9755063619007,"7000 BLK ALASKA AVE NW",3943,"10942-700-3001-0293-000","Shepherd Park",4
-77.0325793213868,38.9793510155424,"1330 GERANIUM ST NW",3947,"14017-135-3001-0250-000","Shepherd Park",4
-77.0220614989132,38.9783531937484,"600 BLK FERN PL NW",3945,"13536-060-3005-0067-000","Takoma",4
-77.0212021876208,38.9747413778926,"528 CEDAR ST NW",4011,"12132-050-3001-0371-000","Takoma",4
-77.0357319741565,38.9786478111205,"1500 BLK FLORAL ST NW",4028,"13646-150-3001-0087-003","Shepherd Park",4
-77.0193802622729,38.9748515035975,"417 CEDAR ST NW",4033,"12132-045-3005-0323-000","Takoma",4
-77.0267527641139,38.975945328536,"7100 GEORGIA AVE NW",4048,"14004-710-3001-0020-000","Walter Reed Medical Center",4
-77.0362550844365,38.975582017098,"7017 16TH ST NW",4105,"10160-690-3005-0241-000","Shepherd Park",4
-77.0091270349457,38.9690077495934,"6526 NORTH CAPITOL ST BN",4127,"56532-650-3001-0277-000","Lamond Riggs",4
-77.0077139226356,38.9681431383586,"unit blk UNDERWOOD ST NE",4137,"28742-000-3005-0379-000","Lamond Riggs",4
-77.019835175783,38.9663332267857,"opp 6302 5TH ST NW",4154,"10050-630-3005-0040-000","Manor Park",4
-77.0225154776639,38.9709798689675,"6626 7TH ST NW",4160,"10070-660-3001-0369-000","Takoma",4
-77.0332079029543,38.9675242085152,"1388 TUCKERMAN ST NW",4169,"18684-130-3001-0983-000","Brightwood",4
-77.0118596826018,38.964574321103,"opp 6124  BLAIR RD NW",4191,"11638-600-3005-0719-001","Manor Park",4
-77.0362626265767,38.9712681963727,"6721 16TH ST NW",4216,"10160-670-3005-0181-000","Brightwood",4
-77.0125493574713,38.9700390169637,"109 VAN BUREN ST NW",4261,"18879-010-3005-0088-000","Takoma",4
-77.01160084981,38.969406004488," opp 6520 1ST ST NW",4276,"10010-650-3005-0080-000","Lamond Riggs",4
-77.0324798253339,38.9690370941261,"1371 UNDERWOOD ST NW",4287,"18742-130-3005-0791-000","Brightwood",4
-77.0308714061358,38.9699833952468,"OPP 1324 VAN BUREN ST NW",4288,"18879-130-3005-0336-000","Brightwood",4
-77.003722825102,38.9654803334598,"218 RITTENHOUSE ST NE",4305,"27624-020-3001-0279-000","Lamond Riggs",4
-77.0327223875267,38.9676313806474,"1373 TUCKERMAN ST NW",4322,"18684-130-3005-0840-000","Brightwood",4
-77.0259072592183,38.9644935660565,"6100 9TH ST NW",4326,"10090-615-3005-0034-000","Brightwood",4
-77.0223887972434,38.9658878744179,"6219 7TH ST NW",4343,"10070-625-3005-0113-000","Brightwood",4
-77.0268093571352,38.9672463133991,"900 TUCKERMAN ST NW",4349,"18684-090-3001-0233-000","Brightwood",4
-77.0252802305908,38.9667677586204,"823 SOMERSET PL NW",4383,"18099-080-3005-0306-000","Brightwood",4
-77.0217163347593,38.9661814412542,"613 SHERIDAN ST NW",4386,NA,"Brightwood",4
-77.0229935174865,38.9660897072818,"712 SHERIDAN ST NW",4398,"17988-070-3001-0121-000","Brightwood",4
-77.023391804792,38.9655881219371,"719 ROXBORO PL NW",4401,"17735-070-3005-0244-000","Brightwood",4
-77.0124943185484,38.9601511105549,"5800 blk kansas ave nw",4434,"15135-570-3001-0577-000","Fort Slocum Park",4
-77.0268535256073,38.966180796573,"917 SHERIDAN ST NW",4464,"17988-090-3005-0251-000","Brightwood",4
-77.0059383168824,38.962424627703,"5900 blk 1ST ST NE",4521,"20010-590-3001-0134-000","Lamond Riggs",4
-77.0260505494372,38.9648067766042,"6108 9TH ST NW",4533,"10090-610-3001-0372-000","Brightwood",4
-77.0333180765557,38.9644439892277,"6109 14TH ST NW",4535,"10140-610-3005-0153-000","Brightwood",4
-77.0315015659899,38.9616536037365,"1326 MISSOURI AVE NW",4616,"16136-130-3001-0514-000","16th Street Heights",4
-77.0233403012128,38.9613687511531,"719 OGLETHORPE ST NW",4623,"16675-070-3005-0240-000","Brightwood",4
-77.015624882694,38.9612733389216,"opp 239 OGLETHORPE ST NW",4628,"16675-020-3001-0551-003","Fort Slocum Park",4
-77.0192410111133,38.9626610563088,"428 PEABODY ST NW",4632,"16968-040-3001-0336-000","Manor Park",4
-77.0220096351828,38.9619649617074,"620 ONEIDA PL NW",4668,"16721-050-3001-0588-000","Brightwood",4
-77.0294539170731,38.9627588649434,"1200 BLK PEABODY ST NW",4673,"16968-120-3005-0432-000","Brightwood",4
-77.0308681558882,38.9629209300403,"1300 PEABODY ST NW",4676,"16968-130-3005-0318-000","Brightwood",4
-77.0353345155215,38.9584110324269,"1441 MADISON ST NW",4718,"15837-140-3005-0518-000","16th Street Heights",4
-77.0070766915903,38.9586852798411,"27 MADISON ST NE",4763,"25837-007-3005-0164-000","Manor Park",4
-77.0223841653447,38.9604942928501,"opp 5804 7TH ST NW",4798,"10070-580-3005-0107-000","Brightwood",4
-77.036207327199,38.9593409558456,"1400 BLK MONTAGUE ST NW",4801,"16149-140-3005-0790-000","16th Street Heights",4
-77.021237436553,38.9600180543737,"5700 blk 6TH ST NW",4841,"10060-575-3001-0292-000","Brightwood",4
-77.0200191000903,38.9612798840351,"500 OGLETHORPE ST NW",4842,"16675-050-3001-0019-000","Brightwood",4
-77.0362898919668,38.9596613397917,"5721 16TH ST NW",4860,"10160-577-3005-0121-000","16th Street Heights",4
-77.0089486654859,38.9585577692323,"5600 blk NORTH CAPITOL ST BN",4862,"56532-560-3005-0321-000","Manor Park",4
-77.0340972114399,38.9553715999649,"5338 COLORADO AVE NW",4894,"12450-530-3001-0525-000","16th Street Heights",4
-76.9988935434293,38.9553127668093,"408 Jefferson St NE/S. Dakota Ave",4901,"24992-040-3001-0280-000","Riggs Park",5
-77.0162470003449,38.9573863516974,"5500 3RD ST NW",4912,"10030-555-3001-0102-000","Manor Park",4
-77.0089476539494,38.9533746383355,"5125 NORTH CAPITOL ST BN",4918,"56532-510-3005-0336-000","Fort Totten",5
-77.0001449189767,38.9575499744439," opp 5540 4TH ST NE",4925,"20040-555-3005-0069-000","Riggs Park",4
-77.0088140679398,38.9524636862759,"unit blk  GALLATIN ST NE",4928,"23906-000-3001-0055-000","Fort Totten",5
-76.9900791503423,38.9561272896364,"5211 EASTERN AVE NE/Hamilton St",4929,"23198-520-3005-0922-000","Riggs Park",5
-77.0023794475862,38.954743171888,"opp 5455 3RD ST NE",4934,"20030-520-3001-0709-000","Fort Totten",5
-77.0335211257949,38.9560989833981,"5418 COLORADO AVE NW",4940,"12450-530-3001-0843-000","16th Street Heights",4
-77.0327392204097,38.9567403331037,"5521 COLORADO AVE NW",4957,"12450-540-3005-0204-000","16th Street Heights",4
-76.9990327809462,38.9571799843905,"5512 CHILLUM PL NE",4958,"22333-550-3001-0183-000","Riggs Park",4
-76.9964195607932,38.9555278647968,"5365 CHILLUM PL NE",4964,"22333-540-3005-1351-000","Riggs Park",5
-77.0363106152264,38.9537687433672,"5313 16TH ST NW",4983,"10160-520-3005-0409-000","16th Street Heights",4
-76.9909033493461,38.9558984435785,"5117 CHILLUM PL NE/Eastern Ave",4984,"22333-510-3005-0199-000","Riggs Park",5
-77.0020744200681,38.9549954091974,"300 blk KENNEDY ST NE",4986,"25206-030-3001-0098-000","Fort Totten",5
-76.9999506948339,38.9536005348464,"5200 blk 4TH ST NE/Hamilton St",4990,"20040-520-3001-0144-000","Fort Totten",5
-77.0355510551249,38.9536377040478,"OPP 5207 COLORADO AVE NW",4992,"12450-510-3001-0286-000","16th Street Heights",4
-77.0347783591591,38.9561895370902,"1414 KENNEDY ST NW",4993,"15206-140-3001-0383-000","16th Street Heights",4
-77.0091210091547,38.9681342416863,"6428 NORTH CAPITOL ST BN",4128,"56532-640-3001-0286-000","Lamond Riggs",4
-77.022955892437,38.9666780956344,"710 SOMERSET PL NW",4422,"18099-070-3001-0144-000","Brightwood",4
-77.0257881337289,38.9555359697307,"5406 9TH ST NW",5014,"10090-540-3001-0103-000","Petworth",4
-77.010411618704,38.9548943136949,"5300 NEW HAMPSHIRE AVE NW",5036,"16422-530-3005-0146-000","Petworth",4
-77.0084035299338,38.9556633525159,"21 JEFFERSON ST NE",5045,"24992-000-3005-0184-000","Manor Park",4
-77.0073031616465,38.9523915327931,"100 blk GALLATIN ST NE",5062,"23906-007-3001-0151-000","Fort Totten",5
-77.0081836121514,38.9557504842517,"14 JEFFERSON ST NE",5080,"24992-000-3001-0223-000","Manor Park",4
-77.0126232204728,38.9534044205411,"123 HAMILTON ST NW",5084,"14290-005-3005-0268-000","Petworth",4
-76.9989259938563,38.9534376418269,"400 blk HAMILTON ST NE",5091,"24290-040-3005-0184-000","Fort Totten",5
-77.0114712149055,38.9540852080912,"opp 5222 1ST ST NW",5130,"10010-520-3005-0259-000","Petworth",4
-77.0223582160198,38.9559323167693,"5414 7TH ST NW",5160,"10070-540-3001-0196-000","Petworth",4
-77.0134701444436,38.9537879249593,"5211 2ND ST NW",5189,"10020-520-3005-0166-000","Petworth",4
-77.0220730944786,38.9526495608711,"5123 7TH ST NW",5211,"10070-510-3005-0212-000","Petworth",4
-77.0115964942425,38.9537230538587,"5214 1ST ST NW",5216,"10010-520-3001-0105-000","Petworth",4
-77.0340036495791,38.9552396735366,"5331 COLORADO AVE NW",5242,"12450-530-3005-0485-000","16th Street Heights",4
-76.9980507556954,38.9560608298373,"opp 520 Jefferson St NE/S. Dakota Ave",5243,"24992-040-3005-0645-000","Riggs Park",5
